Timestamp,CPU Usage,RAM Usage,GPU Utilization,GPU Memory Utilization,GPU Temperature,VRAM Usage,GPU Power,GPU Clock,GPU Memory Clock
2026-09-23 22:53:45,18.08,56.08,0.00,0.00,50,3.27,8.86,1500,5871
2026-09-23 22:53:46,15.01,56.10,0.00,0.00,50,3.27,8.88,1500,5871
2026-09-23 22:53:48,22.59,56.14,0.00,0.00,50,3.27,8.52,1500,5871
2026-09-23 22:53:50,19.31,56.50,0.00,0.00,50,3.27,9.75,1500,5871
2026-09-23 22:53:51,16.87,56.40,0.00,0.00,50,3.27,9.01,1500,5871
2026-09-23 22:53:53,16.98,56.38,0.00,0.00,50,3.27,9.62,1500,5871
2026-09-23 22:53:55,17.00,56.29,0.00,0.00,50,3.27,9.23,1500,5871
2026-09-23 22:53:57,16.49,56.23,0.00,0.00,50,3.27,9.66,1500,5871
2026-09-23 22:53:59,19.13,56.34,0.00,0.00,50,3.27,9.69,1500,5871
2026-09-23 22:54:01,11.71,56.20,0.00,0.00,50,3.27,8.79,1500,5871
2026-09-23 22:54:02,18.99,56.30,0.00,0.00,50,3.27,5.30,1500,5871
2026-09-23 22:54:04,20.16,56.26,0.00,0.00,50,3.27,8.90,1500,5871
2026-09-23 22:54:06,16.10,56.34,0.00,0.00,50,3.27,9.77,1500,5871
2026-09-23 22:54:07,14.19,56.15,0.00,0.00,50,3.27,4.93,1500,5871
2026-09-23 22:54:09,14.79,56.11,0.00,0.00,50,3.27,9.65,1500,5871
2026-09-23 22:54:11,12.55,56.05,0.00,0.00,50,3.27,9.00,1500,5871
2026-09-23 22:54:13,9.66,56.01,0.00,0.00,50,3.27,8.98,1500,5871
2026-09-23 22:54:15,12.83,55.99,0.00,0.00,50,3.27,8.94,1500,5871
2026-09-23 22:54:17,27.81,56.05,0.00,0.00,50,3.27,8.78,1500,5871
2026-09-23 22:54:18,28.28,56.04,0.00,0.00,50,3.27,8.81,1500,5871
2026-09-23 22:54:20,27.38,56.33,0.00,0.00,50,3.27,9.70,1500,5871
2026-09-23 22:54:22,25.52,56.28,0.00,0.00,50,3.27,9.05,1500,5871
2026-09-23 22:54:23,22.65,56.49,0.00,0.00,50,3.27,8.73,1500,5871
2026-09-23 22:54:25,25.35,56.74,0.00,0.00,50,3.27,9.13,1500,5871
2026-09-23 22:54:27,24.01,57.01,0.00,0.00,50,3.27,9.46,1500,5871
